id,carat,cut,color,clarity,depth,table,x,y,z,price
18303,0.31,Ideal,G,VVS2,62.4,56.0,4.33,4.36,2.71,707
18560,0.32,Good,D,SI1,63.1,57.0,4.37,4.38,2.76,589
12688,2.07,Ideal,G,SI2,62.5,55.0,8.2,8.13,5.11,18804
4438,0.37,Ideal,E,VS1,61.3,55.0,4.68,4.65,2.86,999
8292,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,4829
8838,0.33,Ideal,D,VS2,60.3,55.0,4.52,4.5,2.72,855
13841,0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,828
3229,0.9,Premium,D,VS2,63.0,62.0,6.13,6.06,3.84,4586
18080,0.57,Very Good,F,SI1,62.0,55.0,5.32,5.37,3.32,1346
66,0.38,Premium,I,VS2,61.7,59.0,4.64,4.6,2.85,812
13062,0.37,Premium,H,VVS2,62.2,59.0,4.56,4.54,2.83,957
17280,1.51,Premium,E,SI1,61.5,58.0,7.33,7.38,4.52,12530
10057,1.09,Very Good,D,SI2,62.2,59.0,6.46,6.49,4.03,4598
26601,0.79,Premium,H,SI1,60.1,60.0,6.04,5.98,3.61,2498
10172,1.1,Fair,E,SI1,65.5,57.0,6.45,6.37,4.2,3891
14497,0.41,Premium,F,VS2,62.6,57.0,4.74,4.71,2.96,1107
24701,1.2,Ideal,J,SI1,61.9,57.0,6.8,6.87,4.23,5071
8190,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10372
7861,1.03,Ideal,F,SI1,62.8,56.0,6.38,6.46,4.03,5356
1352,0.41,Ideal,E,VVS1,61.3,56.0,4.81,4.79,2.94,1431
7203,0.43,Premium,F,VS1,61.0,57.0,4.89,4.84,2.97,1129
8064,1.21,Premium,I,SI2,60.7,60.0,6.88,6.82,4.16,4879
24908,0.31,Premium,E,VVS2,61.3,60.0,4.33,4.35,2.66,816
13313,0.78,Very Good,E,SI2,60.0,63.0,5.99,5.95,3.58,2512
4351,0.7,Ideal,G,SI1,62.1,58.0,5.67,5.69,3.53,2276
11652,0.47,Ideal,D,VVS1,62.1,55.0,4.98,5.01,3.1,2460
22452,0.61,Ideal,F,VS1,62.3,55.0,5.46,5.49,3.41,2366
24123,1.16,Ideal,G,VS2,62.3,57.0,6.72,6.66,4.17,7203
25130,0.28,Very Good,E,VS1,60.9,59.0,4.19,4.22,2.56,487
24250,0.61,Ideal,J,SI1,62.0,55.0,5.45,5.48,3.39,1143
6008,1.06,Ideal,E,VS1,62.1,57.0,6.49,6.52,4.04,8413
1343,0.54,Ideal,E,VS1,61.0,56.0,5.35,5.24,3.23,2041
19396,1.25,Very Good,I,SI2,61.0,60.0,6.93,6.98,4.24,4950
11020,0.4,Very Good,F,VVS1,61.9,59.0,4.71,4.75,2.93,1111
5144,1.28,Very Good,F,SI1,63.0,56.0,6.9,7.03,4.39,6566
4192,1.51,Good,F,VS2,62.0,59.0,7.18,7.37,4.51,13819
9274,1.11,Premium,J,VS2,59.9,60.0,6.78,6.71,4.04,4315
15019,0.3,Ideal,G,VS1,59.9,56.0,4.37,4.41,2.63,605
16802,1.02,Very Good,D,SI1,60.3,56.0,6.55,6.57,3.96,6863
21170,1.31,Very Good,I,SI2,59.6,60.0,7.09,7.17,4.25,5187
9602,0.73,Very Good,E,SI1,63.2,58.0,5.71,5.74,3.62,2679
10288,0.9,Ideal,H,VS2,62.4,56.0,6.15,6.18,3.85,4044
8391,0.3,Ideal,D,VVS1,62.1,56.0,4.31,4.32,2.68,853
10945,1.0,Very Good,E,SI2,59.5,63.0,6.41,6.47,3.83,4004
22851,0.36,Ideal,F,SI1,60.1,56.0,4.62,4.67,2.79,600
25112,0.72,Very Good,G,SI1,63.1,57.0,5.71,5.67,3.59,2385
14213,1.0,Very Good,D,VS2,61.2,61.0,6.35,6.39,3.9,6190
2750,1.52,Ideal,H,SI1,60.1,60.0,7.5,7.42,4.48,9235
5785,0.54,Very Good,F,SI1,61.2,55.0,5.23,5.29,3.22,1346
6237,1.47,Premium,F,SI2,61.6,60.0,7.38,7.33,4.53,8314
6337,1.01,Premium,F,VS1,62.4,61.0,6.39,6.36,3.98,7127
8530,0.4,Ideal,E,VS2,61.9,54.0,4.74,4.73,2.93,1020
17709,0.3,Ideal,G,SI2,62.1,58.0,4.27,4.3,2.66,422
12530,1.01,Very Good,D,SI2,63.4,57.0,6.4,6.31,4.03,4472
4375,1.03,Premium,G,SI2,60.6,60.0,6.53,6.5,3.95,4557
6955,0.31,Ideal,D,SI1,62.6,56.0,4.36,4.33,2.72,732
11096,0.32,Ideal,G,VVS2,61.8,55.0,4.43,4.41,2.73,936
22663,1.21,Very Good,F,SI2,62.7,57.0,6.74,6.81,4.25,5290
6461,0.35,Ideal,D,VS2,60.9,57.0,4.51,4.55,2.76,829
2256,0.9,Premium,F,SI1,61.7,62.0,6.19,6.13,3.8,3936
9664,0.56,Ideal,E,SI2,,55.0,5.32,5.34,3.3,1296
11061,0.96,Fair,H,I1,68.9,59.0,6.09,5.96,4.15,1773
24049,0.41,Ideal,J,VS2,62.2,54.0,4.76,4.79,2.97,613
22943,0.52,Very Good,I,SI1,63.3,55.0,5.13,5.1,3.24,1073
1915,1.02,Very Good,F,SI1,59.4,60.0,6.48,6.59,3.88,5430
21068,0.53,Ideal,H,VVS1,62.4,54.0,5.18,5.2,3.24,1743
16444,0.4,Very Good,F,VS1,61.3,54.0,4.8,4.83,2.95,890
17205,1.51,Good,I,SI1,63.9,59.0,7.18,7.26,4.61,9069
8845,1.04,Very Good,F,VS1,61.6,60.0,6.49,6.54,4.01,8090
14560,1.02,Premium,F,SI2,62.5,60.0,6.36,6.43,4.0,4459
2547,0.81,Premium,E,SI2,62.5,59.0,5.97,5.9,3.71,2901
14080,0.55,Very Good,F,SI1,62.9,58.0,5.23,5.26,3.3,1260
11811,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,7357
1376,0.23,Very Good,G,VVS2,58.1,59.0,4.09,4.03,2.36,438
8647,0.31,Ideal,H,VS1,62.6,55.0,4.34,4.38,2.73,544
2451,0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,2839
13940,0.35,Premium,D,SI1,60.1,61.0,4.59,4.56,2.75,827
26477,0.5,Premium,F,VS1,61.3,59.0,5.15,5.09,3.14,1838
25587,1.04,Ideal,H,SI2,61.8,55.0,6.54,6.5,4.03,4368
17786,0.33,Premium,D,SI1,60.0,59.0,4.5,4.47,2.69,780
2138,0.7,Good,I,VS1,63.2,55.0,5.58,5.63,3.54,2274
13119,1.16,Very Good,G,VVS2,61.6,58.0,6.67,6.73,4.13,9205
17137,0.85,Ideal,I,SI1,61.4,56.0,6.06,6.12,3.74,3392
1515,0.58,Premium,E,VS1,62.2,58.0,5.35,5.3,3.31,2297
16500,1.71,Very Good,H,VS1,63.5,59.0,7.59,7.52,4.8,9974
23602,0.38,Ideal,F,SI2,62.0,55.0,4.67,4.69,2.9,568
5497,1.0,Premium,E,VS1,60.4,59.0,6.51,6.54,3.94,7744
15178,1.02,Good,E,I1,63.1,60.0,6.31,6.4,4.01,3051
8531,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2671
22809,0.4,Ideal,E,VS2,61.1,56.0,4.75,4.77,2.91,912
25488,0.54,Ideal,I,VS1,63.1,55.0,5.18,5.22,3.27,1453
9388,0.3,Good,H,VS1,63.9,55.0,4.26,4.28,2.73,526
996,1.5,Fair,H,SI2,59.3,58.0,7.31,7.37,4.35,7098
10860,0.71,Fair,D,VS1,65.4,59.0,5.62,5.58,3.66,2747
12936,1.11,Premium,J,VS2,62.6,59.0,6.6,6.56,4.12,4265
13865,0.59,Ideal,D,SI1,61.7,56.0,5.39,5.43,3.34,1671
11286,0.91,Premium,D,SI1,59.0,61.0,6.35,6.29,3.73,4663
20513,0.31,Very Good,I,SI1,62.8,60.0,4.29,4.31,2.7,418
16650,1.5,Very Good,G,VS2,60.7,59.0,7.31,7.38,4.46,18691
17805,0.71,Very Good,F,SI2,62.8,58.0,5.63,5.7,3.56,2147
23032,0.51,Premium,D,SI1,61.9,60.0,5.15,5.12,3.18,1642
9699,0.24,Very Good,D,VS1,62.9,56.0,3.96,3.99,2.5,419
24096,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
6671,1.26,Ideal,E,SI2,62.4,57.0,6.91,6.85,4.29,4939
21563,0.9,Ideal,J,IF,62.2,57.0,6.17,6.14,3.83,3677
19880,0.56,Ideal,G,SI1,62.5,56.0,5.21,5.28,3.28,1340
21975,1.5,Premium,G,VS1,60.2,58.0,7.41,7.38,4.45,13720
2717,0.33,Ideal,H,VS1,62.6,56.0,4.39,4.42,2.75,610
26665,1.24,Ideal,I,SI2,61.9,57.0,6.87,6.92,4.27,5221
12608,0.5,Fair,G,VS1,60.3,66.0,5.13,5.09,3.08,1327
17481,0.32,Ideal,G,VVS2,62.4,54.0,4.38,4.37,2.73,936
20307,0.83,Ideal,H,VS2,61.6,55.0,6.04,6.08,3.73,3171
20112,1.03,Ideal,G,SI2,61.8,55.0,6.46,6.51,4.01,4582
5246,0.34,Premium,F,SI2,61.7,61.0,4.48,4.44,2.75,574
6637,0.29,Ideal,D,VVS2,62.8,56.0,4.23,4.3,2.68,664
20276,0.51,Very Good,G,VVS2,62.6,59.0,5.08,5.11,3.19,1768
14038,0.42,Ideal,I,VVS1,60.2,57.0,4.85,4.88,2.93,884
18337,0.91,Ideal,J,VS1,60.7,57.0,6.23,6.26,3.79,3267
21967,0.45,Premium,E,VS1,60.8,60.0,4.94,4.9,2.99,1282
13142,0.63,Very Good,G,SI2,63.3,59.0,5.51,5.31,3.45,1105
25723,0.53,Ideal,G,VVS2,60.8,57.0,5.24,5.28,3.2,1955
8507,1.1,Ideal,F,IF,62.0,57.0,6.65,6.57,4.1,11233
14308,0.39,Premium,J,VVS1,62.8,58.0,4.66,4.61,2.91,921
17122,0.71,Very Good,D,VS1,64.1,57.0,5.64,5.66,3.62,3332
16664,1.04,Premium,D,SI2,61.0,59.0,6.54,6.51,3.98,4811
23811,0.26,Very Good,E,VVS1,62.9,58.0,4.06,4.08,2.56,599
129,0.31,Fair,G,VVS2,65.5,58.0,4.25,4.24,2.78,629
1172,0.37,Ideal,E,VVS2,62.2,56.0,4.6,4.63,2.87,844
18582,0.53,Premium,G,VS1,63.0,58.0,5.17,5.15,3.25,1727
13422,2.02,Very Good,H,SI2,59.9,55.0,8.17,8.28,4.93,15851
17455,0.4,Ideal,E,VS2,62.0,57.0,4.7,4.66,2.9,975
2796,1.01,Ideal,H,SI1,61.7,57.0,6.37,6.44,3.96,5387
18001,0.38,Ideal,E,VS1,60.7,56.0,4.7,4.72,2.86,933
17808,0.63,Ideal,J,SI1,61.8,56.0,5.47,5.52,3.39,1565
16480,0.44,Premium,G,VS1,62.3,59.0,4.82,4.87,3.02,965
2591,2.0,Very Good,G,SI1,63.5,56.0,7.9,7.97,5.04,18818
5816,0.3,Ideal,F,IF,61.3,55.0,4.32,4.36,2.66,873
20698,1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,5562
11068,1.83,Premium,H,SI1,60.4,59.0,7.89,7.85,4.75,10162
10990,1.79,Premium,G,VS2,61.2,58.0,7.9,7.82,4.81,17358
4202,1.14,Ideal,H,VS2,62.0,54.0,6.72,6.74,4.17,6628
15046,0.35,Premium,G,VS1,62.9,58.0,4.49,4.48,2.82,906
22418,0.58,Very Good,E,VS2,59.6,59.0,5.4,5.44,3.23,1906
21570,2.54,Very Good,I,SI2,63.4,56.0,8.68,8.64,5.49,12095
19069,0.32,Premium,E,SI2,62.4,58.0,4.4,4.35,2.73,576
3036,0.33,Ideal,H,VS2,60.6,56.0,4.51,4.54,2.74,539
21525,0.36,Premium,E,VS2,61.8,58.0,4.57,4.52,2.81,1013
5931,0.41,Ideal,H,IF,61.8,55.0,4.76,4.79,2.95,1187
7616,1.0,Very Good,D,SI1,62.3,59.0,6.26,6.29,3.91,5342
2625,0.5,Good,E,SI1,63.3,59.0,4.99,5.03,3.17,1316
16324,1.05,Ideal,F,VVS1,61.4,57.0,6.51,6.53,4.0,12273
12959,0.51,Premium,G,VS1,62.0,52.0,5.37,5.05,3.23,1781
19778,0.53,Premium,H,SI2,62.5,60.0,5.16,5.18,3.23,1015
23041,0.7,Ideal,D,SI1,62.5,56.0,5.67,5.73,3.56,2612
25898,0.33,Ideal,E,VVS2,61.0,54.0,4.49,4.52,2.75,741
13118,0.7,Fair,D,SI2,64.5,60.0,5.53,5.47,3.55,2167
25360,0.93,Ideal,G,IF,62.2,58.0,6.25,6.22,3.88,5879
379,0.31,Good,G,VS2,63.1,58.0,4.3,4.35,2.73,544
922,1.5,Very Good,I,SI1,63.5,59.0,7.16,7.08,4.52,8081
18100,0.38,Ideal,G,VS1,61.8,56.0,4.65,4.64,2.87,1069
12516,1.02,Premium,F,VVS2,60.9,59.0,6.56,6.44,3.96,8774
10667,1.01,Good,D,SI1,57.6,60.0,6.59,6.64,3.81,5501
9668,1.64,Premium,F,SI1,61.3,58.0,7.65,7.59,4.67,12821
7030,2.09,Ideal,J,VS1,61.2,59.0,8.31,8.22,5.06,15172
23873,0.71,Good,G,VVS1,62.7,61.0,5.64,5.68,3.55,3072
2525,2.07,Ideal,G,SI2,62.0,55.0,8.23,8.13,5.07,17095
1347,1.03,Fair,I,SI1,57.4,61.0,6.67,6.71,3.84,3892
22860,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,3992
24569,0.37,Ideal,E,VVS1,61.5,56.0,4.64,4.59,2.84,1179
8310,1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,4240
3069,0.53,Ideal,I,SI2,61.8,54.0,5.22,5.24,3.23,947
5715,0.71,Ideal,G,VS1,,56.0,5.76,5.73,3.53,2756
14067,0.51,Very Good,D,VS1,62.4,58.0,5.13,5.16,3.21,1849
19339,1.02,Good,D,VS1,64.6,58.0,6.22,6.28,4.04,6797
14196,1.01,Very Good,E,SI1,62.8,59.0,6.41,6.45,4.04,5416
7609,0.51,Ideal,G,VS2,62.7,57.0,5.12,5.05,3.19,1546
19928,0.32,Ideal,D,VS2,62.2,56.0,4.36,4.39,2.72,758
14904,0.9,Fair,D,SI1,66.1,55.0,5.98,5.92,3.93,3945
24599,0.91,Good,H,VS2,63.8,59.0,5.99,5.96,3.82,3192
11528,0.34,Premium,H,VVS2,61.4,58.0,4.5,4.46,2.75,880
11172,0.4,Premium,D,SI1,59.9,60.0,4.75,4.77,2.85,772
14757,2.02,Premium,I,SI2,62.9,60.0,8.05,8.01,5.05,13991
15317,0.9,Ideal,E,SI2,61.8,56.0,6.18,6.22,3.83,4770
22997,0.74,Premium,D,VS2,59.3,60.0,5.89,5.91,3.5,3353
10693,0.31,Premium,D,SI1,61.4,58.0,4.34,4.39,2.68,571
13318,1.04,Premium,H,VS2,62.7,61.0,6.48,6.44,4.05,5416
4071,1.03,Ideal,D,SI2,60.7,55.0,6.53,6.61,3.99,4752
16635,0.26,Very Good,F,VVS2,60.0,59.0,4.11,4.15,2.48,597
9972,1.06,Ideal,F,VS2,,56.0,6.56,6.61,4.04,7641
13371,0.5,Good,D,SI1,63.2,59.0,5.02,5.04,3.18,1395
524,1.04,Ideal,F,SI1,59.9,56.0,6.64,6.58,3.96,4403
25510,0.3,Very Good,E,VS2,62.8,56.0,4.28,4.32,2.7,658
13794,0.73,Ideal,H,SI1,61.5,55.0,5.79,5.84,3.57,2605
17130,1.01,Ideal,D,SI2,60.5,57.0,6.53,6.6,3.97,4837
17907,1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3472
19578,0.77,Ideal,F,VS1,61.9,54.0,5.91,5.94,3.66,3750
15980,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6795
21500,0.54,Very Good,F,VS2,63.0,56.8,5.18,5.22,3.28,1745
22080,0.3,Very Good,D,VVS2,59.3,57.0,4.39,4.41,2.61,719
12950,0.31,Ideal,J,VVS1,62.4,54.0,4.32,4.35,2.7,461
7979,0.33,Premium,I,SI1,61.4,58.0,4.5,4.46,2.75,572
2023,1.51,Very Good,F,VS1,58.9,60.0,7.46,7.54,4.42,14481
